code,meigara,kana,kuramoto,ken,shi,address
1235,京極,きょうごく,二世古酒造,北海道,虻田郡,北海道虻田郡倶知安町旭47
1234,二世古,にせこ,二世古酒造,北海道,虻田郡,北海道虻田郡倶知安町旭47
1447,雪の花,ゆきのはな,雪の花酒造,北海道,小樽市,北海道小樽市
1446,小樽港,おたるこう,雪の花酒造,北海道,小樽市,北海道小樽市
2882,飲ん米,のんべぇい,田中酒造,北海道,小樽市,北海道小樽市色内3-2-5
2979,美苫,びせん,田中酒造,北海道,小樽市,北海道小樽市色内3-2-5
3193,カムイトノト,かむいとのと,田中酒造,北海道,小樽市,北海道小樽市色内3-2-5
1236,宝川,たからがわ,田中酒造,北海道,小樽市,北海道小樽市色内3-2-5
3198,十勝晴れ,とかちばれ,田中酒造,北海道,小樽市,北海道小樽市色内3-2-5
3194,亀甲蔵,きっこうぐら,田中酒造,北海道,小樽市,北海道小樽市色内3-2-5
2881,鬼丸,おにまる,田中酒造,北海道,小樽市,北海道小樽市色内3-2-5
1448,北宝,,山二わたなべ,北海道,小樽市,北海道小樽市
1710,小樽の女,おたるのひと,山二わたなべ,北海道,小樽市,北海道小樽市
1709,雪中花,せっちゅうか,山二わたなべ,北海道,小樽市,北海道小樽市
1449,熊古露里,くまころり,山二わたなべ,北海道,小樽市,北海道小樽市
3235,北世界,きたせかい,日本清酒,北海道,札幌市中央区,北海道札幌市中央区南三条東5-2
3815,すすきの美人,すすきのびじん,日本清酒,北海道,札幌市中央区,北海道札幌市中央区南三条東5-2
2904,十一州,じゅういっしゅう,日本清酒,北海道,札幌市中央区,北海道札幌市中央区南三条東5-2
5,千歳鶴,ちとせつる,日本清酒,北海道,札幌市中央区,北海道札幌市中央区南三条東5-2
2759,與次右衛門,よじうえもん,日本清酒,北海道,札幌市中央区,北海道札幌市中央区南三条東5-2
2758,柴田,しばた,日本清酒,北海道,札幌市中央区,北海道札幌市中央区南三条東5-2
1891,北斗随想,ほくとずいそう,小林酒造,北海道,夕張郡,北海道夕張郡栗山町錦3-109
3820,まる田,まるた,小林酒造,北海道,夕張郡,北海道夕張郡栗山町錦3-109
1892,冬花火,ふゆはなび,小林酒造,北海道,夕張郡,北海道夕張郡栗山町錦3-109
6,北の錦,きたのにしき,小林酒造,北海道,夕張郡,北海道夕張郡栗山町錦3-109
2804,気まぐれ,きまぐれ,高砂酒造,北海道,旭川市,北海道旭川市宮下通17
3196,北吹雪,きたふぶき,高砂酒造,北海道,旭川市,北海道旭川市宮下通17
150,雪氷室 一夜雫,ゆきひむろ いちやしずく,高砂酒造,北海道,旭川市,北海道旭川市宮下通17
3195,ゆきわらべ,ゆきわらべ,高砂酒造,北海道,旭川市,北海道旭川市宮下通17
3,国士無双,こくしむそう,高砂酒造,北海道,旭川市,北海道旭川市宮下通17
2693,大雪,たいせつ,高砂酒造,北海道,旭川市,北海道旭川市宮下通17
2,金滴,きんてき,金滴酒造,北海道,樺戸郡,北海道樺戸郡新十津川町中央71-7
9,国稀,,国稀酒造,北海道,増毛郡,北海道増毛郡増毛町稲葉町1-17
3823,上川大雪,かみかわたいせつ,上川大雪酒造,北海道,上川郡,北海道上川郡上川町旭町25番地1http://kamikawa-taisetsu.co.jp/
8,大雪乃蔵,たいせつのくら,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道
4,北の誉,きたのほまれ,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道
3661,侍,さむらい,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道
7,男山,おとこやま,男山,北海道,旭川市,北海道旭川市永山2条7丁目
1237,福司,ふくつかさ,福司酒造,北海道,釧路市,北海道釧路市住吉2-13-23
1452,北の勝,きたのかつ,碓氷勝三郎商店,北海道,根室市,北海道根室市常盤町1-6
1451,北見寒菊,きたみかんぎく,山田酒造,北海道,北見市,北海道北見市山下町2-1-5
1450,栄光摩周,えいこうましゅう,山田酒造,北海道,北見市,北海道北見市山下町2-1-5
3013,Future4,,Future4,青森県,,
22,南部蔵 富貴,なんぶぐら ふうき,合同酒精 八戸工場,青森県,八戸市,青森県八戸工場〒031-0072 青森県
1614,蔵物語,くらものがたり,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県
21,八鶴,はちつる,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県
3793,十魂,じゅっこん,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県
3331,三戸のどんべり,さんのへのどんべり,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県
163,陸奥田心,むつでんしん,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9
3747,がんじゃ自然酒倶楽部,がんじゃしぜんしゅくらぶ,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9
24,陸奥八仙,むつはっせん,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9
3664,裏 陸奥八仙,うら むつはっせん,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9
161,陸奥男山,むつおとこやま,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9
164,陸奥山海,むつさんかい,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9
3404,稲生,いなおい,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2
158,八甲田おろし,はっこうだおろし,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2
3577,蒼川,そうせん,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2
3366,佐藤企,さとうたくみ,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2
3756,武士道,ぶしどう,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2
20,鳩正宗,はとまさむね,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2
1396,関乃井,せきのい,関乃井酒造,青森県,むつ市,青森県むつ市柳町1-5-15
1397,北勇,きたいさみ,関乃井酒造,青森県,むつ市,青森県むつ市柳町1-5-15
2328,津軽娘,つがるむすめ,中村亀吉,青森県,黒石市,青森県黒石市中町12
1664,玉垂,たまだれ,中村亀吉,青森県,黒石市,青森県黒石市中町12
1665,亀吉,かめきち,中村亀吉,青森県,黒石市,青森県黒石市中町12
3784,賜,たまもの,鳴海醸造店,青森県,黒石市,青森県黒石市大字中町1-1
19,菊乃井,きくのい,鳴海醸造店,青森県,黒石市,青森県黒石市大字中町1-1
3576,稲村屋,いなむらや,鳴海醸造店,青森県,黒石市,青森県黒石市大字中町1-1
1267,鬼笑,おにわらい,佐藤酒造,青森県,黒石市,青森県黒石市
1266,初駒,はつこま,佐藤酒造,青森県,黒石市,青森県黒石市
151,卍,まんじ,佐藤酒造店,青森県,弘前市,青森県弘前市鳥井野字宮本31-1
10,掬水,きくすい,佐藤酒造店,青森県,弘前市,青森県弘前市鳥井野字宮本31-1
2067,津軽衆,つがるしゅう,丸竹酒造店,青森県,弘前市,青森県弘前市大字国吉字坂本49
14,白神ロマンの宴,しらかみろまんのうたげ,丸竹酒造店,青森県,弘前市,青森県弘前市大字国吉字坂本49
155,大輪菊盛,だいりんきくもり,丸竹酒造店,青森県,弘前市,青森県弘前市大字国吉字坂本49
2852,西澤,にしざわ,白神酒造,青森県,弘前市,青森県弘前市米ヶ袋村元22
2332,白神,しらかみ,白神酒造,青森県,弘前市,青森県弘前市米ヶ袋村元22
2331,吉野桜,よしのざくら,吉井酒造,青森県,弘前市,青森県弘前市駅前1-6-6
154,津軽海峡,つがるかいきょう,六花酒造,青森県,弘前市,青森県弘前市向外瀬豊田217
3570,蔵子,くらこ,六花酒造,青森県,弘前市,青森県弘前市向外瀬豊田217
13,じょっぱり,じょっぱり,六花酒造,青森県,弘前市,青森県弘前市向外瀬豊田217
2757,龍飛,たっぴ,六花酒造,青森県,弘前市,青森県弘前市向外瀬豊田217
3569,荒馬,あらま,六花酒造,青森県,弘前市,青森県弘前市向外瀬豊田217
3902,弘前城,ひろさきじょう,弘前銘醸,青森県,弘前市,青森県弘前市富田3丁目7-1
3904,羽衣,はごろも,弘前銘醸,青森県,弘前市,青森県弘前市富田3丁目7-1
3903,遊天,ゆうてん,弘前銘醸,青森県,弘前市,青森県弘前市富田3丁目7-1
2329,津軽じょんがら,つがるじょんがら,カネタ玉田酒造店,青森県,弘前市,青森県弘前市茂森町81
3564,斬,ざん,カネタ玉田酒造店,青森県,弘前市,青森県弘前市茂森町81
3565,玉川,たまかわ,カネタ玉田酒造店,青森県,弘前市,青森県弘前市茂森町81
3567,津軽蔵人,つがるくろうど,カネタ玉田酒造店,青森県,弘前市,青森県弘前市茂森町81
3566,蟹田,かにた,カネタ玉田酒造店,青森県,弘前市,青森県弘前市茂森町81
2330,華一風,はないっぷう,カネタ玉田酒造店,青森県,弘前市,青森県弘前市茂森町81
1098,豊盃,ほうはい,三浦酒造,青森県,弘前市,青森県弘前市石渡5-1-1
2951,刑事,でか,齋藤酒造店,青森県,弘前市,青森県弘前市駒越町58
2761,六根,ろっこん,齋藤酒造店,青森県,弘前市,青森県弘前市駒越町58
12,松緑,まつみどり,齋藤酒造店,青森県,弘前市,青森県弘前市駒越町58
153,北のまほろば,きたのまほろば,齋藤酒造店,青森県,弘前市,青森県弘前市駒越町58
17,明ケ烏,あけがらす,長内酒造店,青森県,つがる市,青森県つがる市
1538,外ヶ濱,そとがはま,西田酒造店,青森県,青森市,青森県青森市大字油川字大浜46
11,田酒,でんしゅ,西田酒造店,青森県,青森市,青森県青森市大字油川字大浜46
3533,善知鳥,うとう,西田酒造店,青森県,青森市,青森県青森市大字油川字大浜46
152,喜久泉,きくいずみ,西田酒造店,青森県,青森市,青森県青森市大字油川字大浜46
156,白神のしずく,しらかみのしずく,尾崎酒造,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30
16,安東水軍,あんどうすいぐん,尾崎酒造,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30
2929,鯵ヶ澤,あじがさわ,尾崎酒造,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30
3751,ブナの白神,ぶなのしらかみ,尾崎酒造,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30
3748,白神の金鮎,しらかみのきんあゆ,尾崎酒造,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30
3752,白神山地の橅,しらかみさんちのぶな,尾崎酒造,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30
3750,神の座,かみのざ,尾崎酒造,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30
3749,岩木川,いわきがわ,尾崎酒造,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30
3568,白神山地の湧き水で仕込んだお酒,しらかみさんちのわきみずでしこんだおさけ,尾崎酒造,青森県,西津軽郡,青森県西津軽郡鰺ヶ沢町漁師町30
15,岩木正宗,いわきまさむね,竹浪酒造店,青森県,北津軽郡,青森県北津軽郡板柳町板柳字土井113-1
3538,七郎兵衛,しちろべえ,竹浪酒造店,青森県,北津軽郡,青森県北津軽郡板柳町板柳字土井113-1
160,稲川,いながわ,八戸酒類 第二工場,青森県,三戸郡,青森県第二工場〒039-1202 青森県
162,菊駒,きくこま,八戸酒類 五戸工場,青森県,三戸郡,青森県五戸工場〒039-1554 青森県
1419,如空,じょくう,八戸酒類 五戸工場,青森県,三戸郡,青森県五戸工場〒039-1554 青森県
3563,五戸のどんべり,ごのへのどんべり,八戸酒類 五戸工場,青森県,三戸郡,青森県五戸工場〒039-1554 青森県
1557,酔,すい,八戸酒類 五戸工場,青森県,三戸郡,青森県五戸工場〒039-1554 青森県
1556,十,とお,八戸酒類 五戸工場,青森県,三戸郡,青森県五戸工場〒039-1554 青森県
1418,五醸,ごじょう,八戸酒類 五戸工場,青森県,三戸郡,青森県五戸工場〒039-1554 青森県
1555,菊駒,きくこま,菊駒酒造,青森県,三戸郡,青森県三戸郡五戸町字川原町12
3754,斗南の桜,となみのさくら,桃川,青森県,上北郡,青森県上北郡おいらせ町上明堂112
3755,隼風,はやかぜ,桃川,青森県,上北郡,青森県上北郡おいらせ町上明堂112
157,杉玉,すぎだま,桃川,青森県,上北郡,青森県上北郡おいらせ町上明堂112
159,ねぶた,ねぶた,桃川,青森県,上北郡,青森県上北郡おいらせ町上明堂112
18,桃川,ももかわ,桃川,青森県,上北郡,青森県上北郡おいらせ町上明堂112
3562,一の馬,いちのうま,盛田庄兵衛,青森県,上北郡,青森県上北郡七戸町字七戸230
3561,七力,しちりき,盛田庄兵衛,青森県,上北郡,青森県上北郡七戸町字七戸230
3753,十和田美人,とわだびじん,盛田庄兵衛,青森県,上北郡,青森県上北郡七戸町字七戸230
3578,作田,さくた,盛田庄兵衛,青森県,上北郡,青森県上北郡七戸町字七戸230
23,駒泉,こまいずみ,盛田庄兵衛,青森県,上北郡,青森県上北郡七戸町字七戸230
3115,北国の恋人,きたぐにのこいびと,桜顔酒造,岩手県,盛岡市,岩手県盛岡市川目町23-18
25,桜顔,さくらがお,桜顔酒造,岩手県,盛岡市,岩手県盛岡市川目町23-18
165,大地の一献,だいちのいっこん,桜顔酒造,岩手県,盛岡市,岩手県盛岡市川目町23-18
3114,姫のかくし酒,ひめのかくしざけ,桜顔酒造,岩手県,盛岡市,岩手県盛岡市川目町23-18
3116,もりおか SAKE すぱぁくりんぐ,もりおか さけ すぱぁくりんぐ,桜顔酒造,岩手県,盛岡市,岩手県盛岡市川目町23-18
27,あさ開,あさびらき,あさ開,岩手県,盛岡市,岩手県盛岡市大慈寺町10-34
1376,浜娘,はまむすめ,赤武酒造,岩手県,盛岡市,岩手県盛岡市北飯岡1-8-60
3810,海龍,かいりゅう,赤武酒造,岩手県,盛岡市,岩手県盛岡市北飯岡1-8-60
2835,赤武,あかぶ,赤武酒造,岩手県,盛岡市,岩手県盛岡市北飯岡1-8-60
28,岩手川,いわてがわ,岩手川,岩手県,盛岡市,岩手県盛岡市
26,菊の司,きくのつかさ,菊の司酒造,岩手県,盛岡市,岩手県盛岡市紺屋町4-20
3259,平井六右衛門,ひらいろくえもん,菊の司酒造,岩手県,盛岡市,岩手県盛岡市紺屋町4-20
167,七福神,しちふくじん,菊の司酒造,岩手県,盛岡市,岩手県盛岡市紺屋町4-20
166,にごり酒杜の白菊,にごりざけもりのしらぎく,菊の司酒造,岩手県,盛岡市,岩手県盛岡市紺屋町4-20
3165,奥州のおっほー,おうしゅうおっほー,両磐酒造,岩手県,一関市,岩手県一関市末広1-8-23
33,関山,かんざん,両磐酒造,岩手県,一関市,岩手県一関市末広1-8-23
1374,世嬉の一,せきのいち,世嬉の一酒造,岩手県,一関市,岩手県一関市田村町5-42
1814,雪っこ,ゆきっこ,酔仙酒造,岩手県,大船渡市,岩手県大船渡市猪川町久名110-1
170,岩手の地酒,いわてのじざけ,酔仙酒造,岩手県,大船渡市,岩手県大船渡市猪川町久名110-1
36,酔仙,すいせん,酔仙酒造,岩手県,大船渡市,岩手県大船渡市猪川町久名110-1
1372,蒼天,そうてん,天瓢,岩手県,奥州市,岩手県奥州市水沢区立町13
1161,喜久盛,きくざかり,喜久盛酒造,岩手県,北上市,岩手県北上市更木3-54
2474,リゾビーノ,りぞびーの,喜久盛酒造,岩手県,北上市,岩手県北上市更木3-54
3077,電氣菩薩,でんきぼさつ,喜久盛酒造,岩手県,北上市,岩手県北上市更木3-54
3078,シャムロック,しゃむろっく,喜久盛酒造,岩手県,北上市,岩手県北上市更木3-54
2473,鬼剣舞,おにけんばい,喜久盛酒造,岩手県,北上市,岩手県北上市更木3-54
2803,タクシードライバー,たくしーどらいばー,喜久盛酒造,岩手県,北上市,岩手県北上市更木3-54
1608,風の又三郎,かぜのまたさぶろう,白雲,岩手県,花巻市,岩手県花巻市
1607,白雲,はくうん,白雲,岩手県,花巻市,岩手県花巻市
169,仙人郷,せんにんきょう,浜千鳥,岩手県,釜石市,岩手県釜石市小川町3-8-7
32,浜千鳥,はまちどり,浜千鳥,岩手県,釜石市,岩手県釜石市小川町3-8-7
1375,千両男山,せんりょうおとこやま,菱屋酒造店,岩手県,宮古市,岩手県宮古市鍬ヶ崎下町5-24
35,龍泉八重桜,りゅうせんやえざくら,泉金酒造,岩手県,下閉伊郡,岩手県下閉伊郡岩泉町岩泉太田30
3809,たえの酒,たえのさけ,上閉伊酒造,岩手県,遠野市,岩手県遠野市青笹町糠前31-19-7
1354,国華の薫,こっかのかおり,上閉伊酒造,岩手県,遠野市,岩手県遠野市青笹町糠前31-19-7
1355,遠野河童の盗み酒,とうのかっぱのぬすみざけ,上閉伊酒造,岩手県,遠野市,岩手県遠野市青笹町糠前31-19-7
1268,南部関,なんぶぜき,川村酒造店,岩手県,花巻市,岩手県花巻市石鳥谷町好地12-132
1269,酔右衛門,よえもん,川村酒造店,岩手県,花巻市,岩手県花巻市石鳥谷町好地12-132
3065,若狭屋徳市,わかさやとくいち,月の輪酒造店,岩手県,紫波郡,岩手県紫波郡紫波町高水寺向畑101
31,月の輪,つきのわ,月の輪酒造店,岩手県,紫波郡,岩手県紫波郡紫波町高水寺向畑101
168,宵の月,よいのつき,月の輪酒造店,岩手県,紫波郡,岩手県紫波郡紫波町高水寺向畑101
1187,廣喜,ひろき,廣田酒造店,岩手県,紫波郡,岩手県紫波郡紫波町宮手泉屋敷2-4
2834,関泉,せきいずみ,廣田酒造店,岩手県,紫波郡,岩手県紫波郡紫波町宮手泉屋敷2-4
1188,荒蝦夷,あらえびす,廣田酒造店,岩手県,紫波郡,岩手県紫波郡紫波町宮手泉屋敷2-4
2833,喜平治,きへいじ,廣田酒造店,岩手県,紫波郡,岩手県紫波郡紫波町宮手泉屋敷2-4
1415,堀の井,ほりのい,高橋酒造店,岩手県,紫波郡,岩手県紫波郡紫波町片寄堀米36
2751,堀米,ほりごめ,高橋酒造店,岩手県,紫波郡,岩手県紫波郡紫波町片寄堀米36
2750,紫波の匠,しわのたくみ,高橋酒造店,岩手県,紫波郡,岩手県紫波郡紫波町片寄堀米36
3268,我が家の春,わがやのはる,吾妻嶺酒造店,岩手県,紫波郡,岩手県紫波郡紫波町土舘内川5
3265,あづまみね,あづまみね,吾妻嶺酒造店,岩手県,紫波郡,岩手県紫波郡紫波町土舘内川5
3267,鸛,こうのとり,吾妻嶺酒造店,岩手県,紫波郡,岩手県紫波郡紫波町土舘内川5
3266,悠楽,ゆうらく,吾妻嶺酒造店,岩手県,紫波郡,岩手県紫波郡紫波町土舘内川5
30,吾妻嶺,あづまみね,吾妻嶺酒造店,岩手県,紫波郡,岩手県紫波郡紫波町土舘内川5
37,南部美人,なんぶびじん,南部美人,岩手県,二戸市,岩手県二戸市福岡上町13
3534,芳梅,ほうばい,南部美人,岩手県,二戸市,岩手県二戸市福岡上町13
29,鷲の尾,わしのお,わしの尾,岩手県,八幡平市,岩手県八幡平市大更第22地割158
38,銀嶺すずらん,ぎんれいすずらん,鈴蘭酒造,岩手県,久慈市,岩手県久慈市
171,北リアスからの風,きたりあすからのかぜ,鈴蘭酒造,岩手県,久慈市,岩手県久慈市
3473,鐵の道,てつのみち,福来,岩手県,久慈市,岩手県久慈市宇部町5-31
3474,涼霞,すずかすみ,福来,岩手県,久慈市,岩手県久慈市宇部町5-31
3475,久慈川,くじがわ,福来,岩手県,久慈市,岩手県久慈市宇部町5-31
39,福来,ふくらい,福来,岩手県,久慈市,岩手県久慈市宇部町5-31
172,白樺凛,しらかばりん,福来,岩手県,久慈市,岩手県久慈市宇部町5-31
3472,北限の海女,ほくげんのあま,福来,岩手県,久慈市,岩手県久慈市宇部町5-31
34,磐乃井,いわのい,磐乃井酒造,岩手県,一関市,岩手県一関市花泉町涌津舘72
3451,玄会,くろえ,磐乃井酒造,岩手県,一関市,岩手県一関市花泉町涌津舘72
3623,磐,ばん,磐乃井酒造,岩手県,一関市,岩手県一関市花泉町涌津舘72
3559,こでられね,こでられね,磐乃井酒造,岩手県,一関市,岩手県一関市花泉町涌津舘72
3622,百磐,ひゃくばん,磐乃井酒造,岩手県,一関市,岩手県一関市花泉町涌津舘72
3382,玉の春,たまのはる,岩手銘醸,岩手県,奥州市前沢区,岩手県奥州市前沢区新町13
1371,天瓢,てんぴょう,岩手銘醸,岩手県,奥州市前沢区,岩手県奥州市前沢区新町13
1364,岩手誉,いわてほまれ,岩手銘醸,岩手県,奥州市前沢区,岩手県奥州市前沢区新町13
1373,阿弖流爲,あてるい,岩手銘醸,岩手県,奥州市前沢区,岩手県奥州市前沢区新町13
3249,地主町,じしゅうまち,岩手銘醸,岩手県,奥州市前沢区,岩手県奥州市前沢区新町13
2756,Shangri-la 2013,しゃんぐりら,NEXT FIVE,秋田県,,
1824,THE BEGINNING 2010,ざ・びぎにんぐ,NEXT FIVE,秋田県,,
1822,EMOTION 2011,えもーしょん,NEXT FIVE,秋田県,,
1987,ECHO 2012,えこー,NEXT FIVE,秋田県,,
1823,PASSION 2011,ぱっしょん,NEXT FIVE,秋田県,,
52,竿灯,かんとう,秋田醸造,秋田県,秋田市,秋田県秋田市楢山登町5-2
1820,ゆきの美人,ゆきのびじん,秋田醸造,秋田県,秋田市,秋田県秋田市楢山登町5-2
3776,究,きわむ,新政酒造,秋田県,秋田市,秋田県秋田市大町6-2-35
1092,厚徳,こうとく,新政酒造,秋田県,秋田市,秋田県秋田市大町6-2-35
2782,No.6,なんばーしっくす,新政酒造,秋田県,秋田市,秋田県秋田市大町6-2-35
2781,秘醸酒,ひじょうしゅ,新政酒造,秋田県,秋田市,秋田県秋田市大町6-2-35
2780,カラーズ,からーず,新政酒造,秋田県,秋田市,秋田県秋田市大町6-2-35
2976,雄和,ゆうわ,新政酒造,秋田県,秋田市,秋田県秋田市大町6-2-35
55,新政,あらまさ,新政酒造,秋田県,秋田市,秋田県秋田市大町6-2-35
2763,やまユ,やまゆ,新政酒造,秋田県,秋田市,秋田県秋田市大町6-2-35
185,しみずの舞,しみずのまい,秋田酒類製造,秋田県,秋田市,秋田県秋田市川元むつみ町4-12
54,高清水,たかしみず,秋田酒類製造,秋田県,秋田市,秋田県秋田市川元むつみ町4-12
1474,国萬歳,くにばんざい,国萬歳酒造,秋田県,秋田市,秋田県秋田市新屋元町23-9
1815,酔楽天,すいらくてん,秋田酒造,秋田県,秋田市,秋田県秋田市新屋元町23-28
3718,よーいとナ,よーいとな,秋田酒造,秋田県,秋田市,秋田県秋田市新屋元町23-28
3717,かもっ酒。,かもっしゅ,秋田酒造,秋田県,秋田市,秋田県秋田市新屋元町23-28
3719,新屋衆,あらやしゅう,秋田酒造,秋田県,秋田市,秋田県秋田市新屋元町23-28
1475,秋田晴,あきたばれ,秋田酒造,秋田県,秋田市,秋田県秋田市新屋元町23-28
53,英雄,えいゆう,森川酒造店,秋田県,秋田市,秋田県秋田市
1306,黄金井,こがねい,黄金井酒造,秋田県,秋田市,秋田県秋田市
56,銀鱗,ぎんりん,那波商店,秋田県,秋田市,秋田県秋田市土崎港中央1丁目16-41
2327,銀嶺白山,ぎんれいはくさん,武石酒造店,秋田県,湯沢市,秋田県湯沢市
2820,山田川,やまだがわ,武石酒造店,秋田県,湯沢市,秋田県湯沢市
65,両関,りょうぜき,両関酒造,秋田県,湯沢市,秋田県湯沢市前森4-3-18
3437,雪月花,せつげつか,両関酒造,秋田県,湯沢市,秋田県湯沢市前森4-3-18
3438,霧時雨,きりしぐれ,両関酒造,秋田県,湯沢市,秋田県湯沢市前森4-3-18
2738,翠玉,すいぎょく,両関酒造,秋田県,湯沢市,秋田県湯沢市前森4-3-18
3774,BREEZE,ぶりーず,両関酒造,秋田県,湯沢市,秋田県湯沢市前森4-3-18
2825,花邑,はなむら,両関酒造,秋田県,湯沢市,秋田県湯沢市前森4-3-18
3439,青時雨,あおしぐれ,両関酒造,秋田県,湯沢市,秋田県湯沢市前森4-3-18
3949,初時雨,はつしぐれ,両関酒造,秋田県,湯沢市,秋田県湯沢市前森4-3-18
213,爛漫,らんまん,秋田銘醸,秋田県,湯沢市,秋田県湯沢市大工町4-23
3872,小野之里,おののさと,高久酒造,秋田県,湯沢市,秋田県湯沢市柳町2-1-42
212,福小町,ふくこまち,木村酒造,秋田県,湯沢市,秋田県湯沢市田町2-1-11
3000,角右衛門,かくえもん,木村酒造,秋田県,湯沢市,秋田県湯沢市田町2-1-11
3874,秋田の香り,あきたのかおり,奥山儀助商店,秋田県,湯沢市,秋田県湯沢市吹張1-2-40
3873,金時,きんとき,奥山儀助商店,秋田県,湯沢市,秋田県湯沢市吹張1-2-40
3727,雪桜,ゆきざくら,秋田県醗酵工業,秋田県,湯沢市,秋田県湯沢市深堀中川原120-8
3897,館の井,たてのい,秋田県醗酵工業,秋田県,湯沢市,秋田県湯沢市深堀中川原120-8
2877,とんとん拍子,とんとんびょうし,秋田県醗酵工業,秋田県,湯沢市,秋田県湯沢市深堀中川原120-8
1400,一滴千両,いってきせんりょう,秋田県醗酵工業,秋田県,湯沢市,秋田県湯沢市深堀中川原120-8
2695,小野こまち,おのこまち,秋田県醗酵工業,秋田県,湯沢市,秋田県湯沢市深堀中川原120-8
3446,横手,よこて,阿櫻酒造,秋田県,横手市,秋田県横手市大沢字西野67-2
1398,雪の音,ゆきのね,阿櫻酒造,秋田県,横手市,秋田県横手市大沢字西野67-2
1399,かまくら,かまくら,阿櫻酒造,秋田県,横手市,秋田県横手市大沢字西野67-2
3726,雪櫻,,阿櫻酒造,秋田県,横手市,秋田県横手市大沢字西野67-2
3807,秋田ばやし,あきたばやし,阿櫻酒造,秋田県,横手市,秋田県横手市大沢字西野67-2
1583,阿櫻,,阿櫻酒造,秋田県,横手市,秋田県横手市大沢字西野67-2
3284,夏田冬蔵,なつたふゆぞう,浅舞酒造,秋田県,横手市,秋田県横手市平鹿町浅舞字浅舞388
3073,染井櫻,,浅舞酒造,秋田県,横手市,秋田県横手市平鹿町浅舞字浅舞388
210,天の戸,あまのと,浅舞酒造,秋田県,横手市,秋田県横手市平鹿町浅舞字浅舞388
1416,田从,たびと,舞鶴酒造,秋田県,横手市,秋田県横手市平鹿町浅舞字浅舞184
208,月下の舞,げっかのまい,舞鶴酒造,秋田県,横手市,秋田県横手市平鹿町浅舞字浅舞184
64,朝乃舞,あさのまい,舞鶴酒造,秋田県,横手市,秋田県横手市平鹿町浅舞字浅舞184
3626,たてのい,たてのい,沼館酒造,秋田県,横手市,秋田県横手市
